E_MPSs,Evar_MPSs,SW_MPSs,MPS_runtimes,current_ks
6.425726e-06,2.2208602726389504e-05,1.0000006,65.79512119293213,0.1
0.0022973537,0.0007142687235571,1.0000006,411.09351420402527,0.5
0.0074040014,0.0013743314858087,0.99999964,333.1441011428833,0.7880293000746187
0.019970175,0.0030489642847809,1.0,216.1487438678741,1.2419803555521869
0.046510257,0.0059327382192061,1.000001,173.4496350288391,1.957433820584432
0.09525995,0.0183471041317276,1.0000002,205.75436186790463,3.0850304071550734
0.17385995,0.0160209266742764,1.0000001,241.02075242996216,4.8621887049186565
0.29664198,0.0285996227969264,1.0000012,238.52474355697632,7.66309432393553
0.46124074,0.043713048732909,0.9999998,273.85428857803345,12.077485712993402
0.680962,0.0664478536017858,1.0000001,276.7550654411316,19.0348252261428
0.9660533,0.0491028077210611,1.0000002,236.6757121086121,30.0
